"course_id","title","link","provider","platform","skills","level","credential","duration"
25,"IBM Business Analyst","https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate","IBM","Coursera","Data Storytelling, Risk Mitigation, Business Analysis, Business Process Modeling, Risk Analysis, Project Scoping, Process Flow Diagrams, Stakeholder Analysis, Process Optimization, Data Visualization, Requirements Management, Prompt Engineering, Risk Management, Stakeholder Management, Digital Transformation, Responsible AI, Excel Formulas, Microsoft Excel, Business Analytics, Business Requirements","Beginner","Professional Certificate","3 - 6 Months"
26,"IBM AI Engineering","https://www.coursera.org/professional-certificates/ai-engineer","IBM","Coursera","Prompt Engineering, Large Language Modeling, PyTorch (Machine Learning Library), Unsupervised Learning, Generative AI, Keras (Neural Network Library), Supervised Learning, Reinforcement Learning, Regression Analysis, LLM Application, Scikit Learn (Machine Learning Library), Deep Learning, Applied Machine Learning, Generative AI Agents, Natural Language Processing, Tensorflow, Predictive Modeling, Machine Learning, Python Programming, Data Science","Intermediate","Professional Certificate","3 - 6 Months"
27,"Meta Front-End Developer","https://www.coursera.org/professional-certificates/meta-front-end-developer","Meta","Coursera","Jest (JavaScript Testing Framework), Version Control, UI/UX Research, Usability Testing, Responsive Web Design, Cascading Style Sheets (CSS), Data Structures, Unix Commands, HTML and CSS, Git (Version Control System), Persona (User Experience), GitHub, Interaction Design, Bootstrap (Front-End Framework), React.js, Mobile Development, Front-End Web Development, Algorithms, Web Development Tools, Javascript","Beginner","Professional Certificate","3 - 6 Months"
28,"AWS Cloud Solutions Architect","https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect","Amazon Web Services","Coursera","AWS Identity and Access Management (IAM), Amazon CloudWatch, Data Lakes, Amazon DynamoDB, Amazon Web Services, Serverless Computing, Cloud Computing, Amazon S3, Scalability, Amazon Elastic Compute Cloud, Event-Driven Programming, Cloud Security, Solution Architecture, Data Visualization, Cloud Storage, Data Architecture, Software Architecture, Cloud Computing Architecture, API Gateway, Hybrid Cloud Computing","Intermediate","Professional Certificate","3 - 6 Months"
29,"IBM AI Product Manager","https://www.coursera.org/professional-certificates/ibm-ai-product-manager","IBM","Coursera","Prompt Engineering, AI Product Strategy, Generative AI, New Product Development, Prompt Patterns, Product Management, Product Lifecycle Management, Generative Model Architectures, Product Development, Innovation, Product Roadmaps, Usability Testing, Product Planning, Responsible AI, Commercialization, Artificial Intelligence, Product Strategy, Project Management Life Cycle, OpenAI, Stakeholder Engagement","Beginner","Professional Certificate","3 - 6 Months"
30,"Microsoft Power BI Data Analyst","https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst","Microsoft","Coursera","Power BI, Microsoft Excel, Data Analysis, Data Literacy, Data Visualization, Data Storage, Microsoft Power Platform, Data Collection, Data Quality, Business Analytics, Timelines, Advanced Analytics, Database Design, Statistical Reporting, Statistical Visualization, Business Intelligence, Data Integration, Data Storage Technologies, SQL, Data Manipulation","Beginner","Professional Certificate","3 - 6 Months"
31,"Microsoft AI & ML Engineering","https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering","Microsoft","Coursera","Unsupervised Learning, Generative AI, Large Language Modeling, Data Management, Natural Language Processing, MLOps (Machine Learning Operations), Supervised Learning, Microsoft Azure, Deep Learning, Artificial Intelligence and Machine Learning (AI/ML), Infrastructure Architecture, LLM Application, Responsible AI, Generative AI Agents, Applied Machine Learning, Reinforcement Learning, Data Ethics, Prompt Engineering, Data Processing, Application Deployment","Intermediate","Professional Certificate","3 - 6 Months"
32,"IBM RAG and Agentic AI","https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai","IBM","Coursera","Prompt Engineering, LangChain, Tool Calling, LangGraph, Agentic systems, Multimodal Prompts, Generative AI, LLM Application, Generative AI Agents, Responsible AI, OpenAI, Artificial Intelligence and Machine Learning (AI/ML), Application Design, Application Development, Large Language Modeling, UI Components, Semantic Web, Data Storage Technologies, Databases, Software Development","Advanced","Professional Certificate","3 - 6 Months"
33,"Preparing for Google Cloud Certification: Machine Learning Engineer","https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate","Google Cloud","Coursera","Feature Engineering, MLOps (Machine Learning Operations), Prompt Engineering, Google Cloud Platform, Generative AI, Tensorflow, Keras (Neural Network Library), Apache Airflow, Cloud Infrastructure, CI/CD, Data Pipelines, Systems Design, Cloud Platforms, Data Management, Data Governance, Hybrid Cloud Computing, Workflow Management, Artificial Intelligence, Machine Learning, Cloud Computing","Intermediate","Professional Certificate","3 - 6 Months"
34,"Microsoft Excel","https://www.coursera.org/professional-certificates/microsoft-excel-skills","Microsoft","Coursera","Excel Macros, Prompt Engineering, Microsoft Excel, Data Cleansing, Excel Formulas, Pivot Tables And Charts, Microsoft Copilot, Dashboard, Forecasting, Data Presentation, Data Storytelling, Data Processing, Data Visualization Software, Data Manipulation, Data Visualization, Workflow Management, Data Wrangling, Data Quality, Statistical Analysis, Data Transformation","Beginner","Professional Certificate","3 - 6 Months"
35,"Arizona State University TESOL","https://www.coursera.org/professional-certificates/arizona-state-university-tesol","Arizona State University","Coursera","Oral Comprehension, Education Software and Technology, Pedagogy, Literacy, Teaching, Learning Strategies, Instructional Strategies, Enthusiasm, Motivational Skills, Oral Expression, Learning Styles, Technology Strategies, Grammar, Language Learning, English Language, Language Competency, Constructive Feedback, Design Elements And Principles, Learning Theory, Self-Awareness","Beginner","Professional Certificate","3 - 6 Months"
36,"Microsoft Business Analyst","https://www.coursera.org/professional-certificates/microsoft-business-analyst","Microsoft","Coursera","Microsoft Power Platform, Excel Formulas, Process Flow Diagrams, Business Process Modeling, User Story, Business Requirements, Stakeholder Management, Data Modeling, Microsoft Excel, Software Development Life Cycle, Requirements Analysis, Requirements Elicitation, Quality Management, Pivot Tables And Charts, Microsoft Visio, Power BI, Microsoft Power Automate/Flow, Business Analysis, Scrum (Software Development), Data Analysis","Beginner","Professional Certificate","3 - 6 Months"
37,"IBM Data Analyst","https://www.coursera.org/professional-certificates/ibm-data-analyst","IBM","Coursera","Exploratory Data Analysis, Data Storytelling, Data Wrangling, Dashboard, Data Visualization Software, Plotly, Data Visualization, Generative AI, SQL, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Big Data, IBM Cognos Analytics, Excel Formulas, Professional Networking, Data Import/Export, Microsoft Excel, Python Programming","Beginner","Professional Certificate","3 - 6 Months"
38,"Microsoft Cybersecurity Analyst","https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst","Microsoft","Coursera","Threat Modeling, MITRE ATT&CK Framework, Penetration Testing, Azure Active Directory, Network Security, Computer Systems, Security Information and Event Management (SIEM), Security Testing, Encryption, Cybersecurity, System Testing, Cloud Security, Vulnerability Scanning, Threat Management, Cloud Computing, Authentications, Active Directory, Operating Systems, Data Management, Computer Security Incident Management","Beginner","Professional Certificate","3 - 6 Months"
39,"IBM Data Management","https://www.coursera.org/professional-certificates/ibm-data-manager","IBM","Coursera","Dashboard, Data Storytelling, Data Warehousing, SQL, Data Visualization, Data Security, Data Migration, Database Design, Data Governance, MySQL, Descriptive Statistics, Extract, Transform, Load, Data Store, Data Management, Relational Databases, Databases, Exploratory Data Analysis, Data Architecture, Excel Formulas, Business Intelligence","Beginner","Professional Certificate","3 - 6 Months"
40,"IBM Java Developer","https://www.coursera.org/professional-certificates/java-developer","IBM","Coursera","Prompt Engineering, Software Development Life Cycle, Cloud-Native Computing, Software Architecture, Hibernate (Java), Database Design, Responsive Web Design, Docker (Software), Containerization, Git (Version Control System), GitHub, Object Oriented Programming (OOP), Microservices, CI/CD, Restful API, Java Programming, Engineering Software, Version Control, Database Management, Software Design","Beginner","Professional Certificate","3 - 6 Months"
41,"IBM Full Stack Software Developer","https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer","IBM","Coursera","Prompt Engineering, Software Development Life Cycle, CI/CD, Kubernetes, Istio, Software Architecture, Cloud Computing Architecture, Application Deployment, React Redux, Cloud Services, Node.JS, Responsive Web Design, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Flask (Web Framework), Cloud Computing, Data Import/Export, Engineering Software","Beginner","Professional Certificate","3 - 6 Months"
42,"Google Digital Marketing & E-commerce","https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce","Google","Coursera","Data Storytelling, Media Planning, Social Media Marketing, Google Ads, Email Marketing, Social Media Strategy, Order Fulfillment, Social Media Management, Search Engine Optimization, Performance Measurement, Spreadsheet Software, A/B Testing, Digital Marketing, E-Commerce, Campaign Management, Loyalty Programs, Customer Retention, Marketing, Interviewing Skills, Professional Development","Beginner","Professional Certificate","3 - 6 Months"
43,"Microsoft AI Product Manager","https://www.coursera.org/professional-certificates/microsoft-ai-product-manager","Microsoft","Coursera","Competitive Analysis, Market Research, User Story, User Interface (UI), Product Roadmaps, Competitive Intelligence, AI Product Strategy, Usability, Persona Development, Product Development, Market Analysis, Product Management, Product Lifecycle Management, Customer Analysis, Market Intelligence, Design Thinking, User Interface (UI) Design, Quality Assurance and Control, Product Strategy, Data Analysis","Beginner","Professional Certificate","3 - 6 Months"
44,"IBM Data Engineering","https://www.coursera.org/professional-certificates/ibm-data-engineer","IBM","Coursera","NoSQL, Data Warehousing, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Web Scraping, Linux Commands, Database Design, SQL, IBM Cognos Analytics, MySQL, Apache Spark, Database Administration, Data Store, Generative AI, Professional Networking, Data Import/Export, Python Programming, Data Analysis, Data Science","Beginner","Professional Certificate","3 - 6 Months"
45,"Preparing for Google Cloud Certification: Cloud Data Engineer","https://www.coursera.org/professional-certificates/gcp-data-engineering","Google Cloud","Coursera","Data Pipelines, Dataflow, Google Cloud Platform, Real Time Data, Data Maintenance, Data Lakes, Data Storage, MLOps (Machine Learning Operations), Data Analysis, Data Warehousing, Data Processing, Extract, Transform, Load, Cloud Engineering, Data Infrastructure, Cloud Infrastructure, Apache Airflow, Cloud Storage, Big Data, Tensorflow, Unstructured Data","Intermediate","Professional Certificate","3 - 6 Months"
46,"DeepLearning.AI TensorFlow Developer","https://www.coursera.org/professional-certificates/tensorflow-in-practice","DeepLearning.AI","Coursera","Tensorflow, Computer Vision, Image Analysis, Keras (Neural Network Library), Natural Language Processing, Time Series Analysis and Forecasting, Deep Learning, Artificial Neural Networks, Generative AI, Predictive Modeling, Applied Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Artificial Intelligence, Text Mining, Machine Learning Methods, Forecasting, Data Processing, Machine Learning, Supervised Learning","Intermediate","Professional Certificate","3 - 6 Months"
47,"Microsoft Python Development","https://www.coursera.org/professional-certificates/microsoft-python-developer","Microsoft","Coursera","Web Scraping, Data Structures, Git (Version Control System), Generative AI, Version Control, Matplotlib, Plotly, DevOps, Agile Methodology, Web Development, Data Ethics, Flask (Web Framework), Data Visualization, Scripting, GitHub, Debugging, Data Cleansing, Data Analysis, Automation, Cloud Computing","Beginner","Professional Certificate","3 - 6 Months"
48,"Meta Marketing Analytics","https://www.coursera.org/professional-certificates/facebook-marketing-analytics","Meta","Coursera","Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Marketing Analytics, Bayesian Statistics, Data Visualization, Descriptive Statistics, Marketing Effectiveness, Statistical Hypothesis Testing, Target Audience, Marketing Strategies, Data Cleansing, Pandas (Python Package), Data Modeling, Data Analysis, Data Visualization Software, A/B Testing, Data Collection, Marketing, Interviewing Skills","Beginner","Professional Certificate","3 - 6 Months"
49,"IBM Data Architecture","https://www.coursera.org/professional-certificates/ibm-data-architect","IBM","Coursera","NoSQL, Data Warehousing, SQL, Apache Hadoop, Extract, Transform, Load, Apache Airflow, Data Security, Linux Commands, Data Migration, Database Design, Data Governance, MySQL, Database Administration, Apache Spark, Data Pipelines, Apache Kafka, Database Management, Bash (Scripting Language), Data Store, Data Architecture","Beginner","Professional Certificate","3 - 6 Months"
50,"Meta Back-End Developer","https://www.coursera.org/professional-certificates/meta-back-end-developer","Meta","Coursera","Django (Web Framework), Full-Stack Web Development, Version Control, Restful API, Data Structures, Unix Commands, Bootstrap (Front-End Framework), Git (Version Control System), Back-End Web Development, GitHub, Web Design and Development, Relational Databases, Front-End Web Development, Object Oriented Programming (OOP), Database Management Systems, SQL, Database Design, Python Programming, Computer Programming, Cloud Hosting","Beginner","Professional Certificate","3 - 6 Months"
51,"Google Professional Workspace Administrator","https://www.coursera.org/professional-certificates/g-suite-administration","Google Cloud","Coursera","User Provisioning, Data Governance, Google Workspace, Data Loss Prevention, Gmail, User Accounts, Google Gemini, Information Management, Email Security, Data Management, Data Security, Document Management, Group Policy, Identity and Access Management, Mobile Security, Records Management, Email Automation, Data Storage, Security Management, Technical Support","Beginner","Professional Certificate","1 - 4 Weeks"
52,"IBM Product Manager","https://www.coursera.org/professional-certificates/ibm-product-manager","IBM","Coursera","User Story, Usability Testing, New Product Development, Product Management, Product Lifecycle Management, Product Development, Innovation, Agile Software Development, Product Roadmaps, Agile Methodology, Kanban Principles, Backlogs, Product Planning, Sprint Retrospectives, Agile Project Management, Product Strategy, Product Testing, Project Management Life Cycle, Stakeholder Engagement, Leadership","Beginner","Professional Certificate","3 - 6 Months"
53,"IBM IT Support","https://www.coursera.org/professional-certificates/ibm-technical-support","IBM","Coursera","Cloud Computing Architecture, Technical Support, Technical Support and Services, Cloud Services, Generative AI, Hardware Troubleshooting, IT Service Management, Cloud Security, Desktop Support, Cloud Platforms, Cybersecurity, Cloud Hosting, Cloud Engineering, Cloud Computing, Professional Networking, Data Storage, Peripheral Devices, Information Technology, Cloud Infrastructure, Customer Service","Beginner","Professional Certificate","3 - 6 Months"
54,"Preparing for Google Cloud Certification: Cloud Developer","https://www.coursera.org/professional-certificates/google-cloud-developer","Google Cloud","Coursera","Google Gemini, Cloud Applications, Google Cloud Platform, Containerization, Cloud Infrastructure, Application Deployment, Prompt Engineering, CI/CD, Kubernetes, Cloud Development, Microservices, Docker (Software), Application Development, Serverless Computing, Identity and Access Management, Cloud Services, Virtual Machines, Cloud Computing, Cloud Storage, Debugging","Intermediate","Professional Certificate","3 - 6 Months"
55,"Google IT Support","https://www.coursera.org/professional-certificates/google-it-support","Google","Coursera","IT Security Architecture, Computer Networking, Operating System Administration, Package and Software Management, Network Troubleshooting, Systems Administration, IT Infrastructure, Cloud Management, TCP/IP, Network Security, File Systems, Microsoft Windows, Computer Security, Lightweight Directory Access Protocols, Computer Hardware, Technical Support, Software Installation, Interviewing Skills, Professional Development, Google Gemini","Beginner","Professional Certificate","3 - 6 Months"
56,"Google Data Analytics","https://www.coursera.org/professional-certificates/google-data-analytics","Google","Coursera","Data Storytelling, Rmarkdown, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, LinkedIn, Dashboard, Data Processing, Interviewing Skills, Professional Development","Beginner","Professional Certificate","3 - 6 Months"
57,"IBM Data Science","https://www.coursera.org/professional-certificates/ibm-data-science","IBM","Coursera","Exploratory Data Analysis, Data Wrangling, Dashboard, Data Visualization Software, Data Visualization, SQL, Unsupervised Learning, Plotly, Interactive Data Visualization, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Data Mining, Generative AI, Professional Networking, Data Import/Export","Beginner","Professional Certificate","3 - 6 Months"
58,"IBM Back-End Development","https://www.coursera.org/professional-certificates/ibm-backend-development","IBM","Coursera","Software Development Life Cycle, Open Web Application Security Project (OWASP), Kubernetes, Istio, Linux Commands, Software Architecture, Application Deployment, NoSQL, Bash (Scripting Language), MongoDB, Shell Script, Django (Web Framework), Object-Relational Mapping, OpenShift, Git (Version Control System), Flask (Web Framework), Grafana, Microservices, Data Import/Export, Python Programming","Beginner","Professional Certificate","3 - 6 Months"
59,"AWS Cloud Support Associate","https://www.coursera.org/professional-certificates/aws-cloud-support-associate","Amazon Web Services","Coursera","AWS Identity and Access Management (IAM), Infrastructure as Code (IaC), Command-Line Interface, Amazon CloudWatch, AWS CloudFormation, Root Cause Analysis, Amazon DynamoDB, Customer Relationship Building, Network Troubleshooting, Amazon Web Services, Customer Relationship Management, Software Architecture, IT Automation, Linux Commands, Cloud Computing, Linux, Web Applications, Information Technology, Customer Service, Software Development","Beginner","Professional Certificate","3 - 6 Months"
